timestamp,environment,temperature_C,humidity_percent,lux
2025-03-25T17:36:59.840341,Environment 1,23.39,48.86,176.49
2025-03-25T17:37:00.380918,Environment 2,23.15,44.87,164.97
2025-03-25T17:37:10.902728,Environment 1,23.37,44.51,485.68
2025-03-25T17:37:11.439724,Environment 2,23.15,44.63,352.51
2025-03-25T17:37:21.958312,Environment 1,23.34,43.84,394.44
2025-03-25T17:37:24.596268,Environment 1,23.34,43.75,434.07
2025-03-25T17:37:25.132252,Environment 2,23.14,44.29,331.32
2025-03-25T17:37:35.654619,Environment 1,23.3,43.8,500.89
2025-03-25T17:37:36.195749,Environment 2,23.13,44.17,361.27
2025-03-25T17:37:46.713776,Environment 1,23.27,44.0,205.52
2025-03-25T17:37:49.347511,Environment 1,23.26,44.1,205.98
2025-03-25T17:37:49.887818,Environment 2,23.11,44.39,127.18
2025-03-25T17:38:00.410672,Environment 1,23.23,44.39,205.98
2025-03-25T17:38:00.947638,Environment 2,23.09,44.67,127.18
2025-03-25T17:38:11.469394,Environment 1,23.21,44.7,206.44
2025-03-25T17:38:14.103141,Environment 1,23.2,44.82,206.9
2025-03-25T17:38:14.644431,Environment 2,23.06,45.11,128.1
2025-03-25T17:38:25.167023,Environment 1,23.15,45.25,206.44
2025-03-25T17:38:25.702861,Environment 2,23.05,45.51,127.64
2025-03-25T17:38:36.226185,Environment 1,23.13,45.62,206.44
2025-03-25T17:38:38.863769,Environment 1,23.13,45.65,206.44
2025-03-25T17:38:39.400032,Environment 2,23.02,45.86,127.18
2025-03-25T17:38:49.922388,Environment 1,23.14,45.93,205.52
2025-03-25T17:38:50.459011,Environment 2,23.02,46.23,126.72
2025-03-25T17:39:00.982049,Environment 1,23.12,46.19,205.06
2025-03-25T17:39:03.618857,Environment 1,23.12,46.19,204.6
2025-03-25T17:39:04.155990,Environment 2,23.02,46.4,126.26
2025-03-25T17:39:14.674451,Environment 1,23.11,46.42,204.13
2025-03-25T17:39:15.215088,Environment 2,23.01,46.76,125.8
2025-03-25T17:39:25.737422,Environment 1,23.09,46.86,202.29
2025-03-25T17:39:28.370739,Environment 1,23.09,46.97,202.29
2025-03-25T17:39:28.911687,Environment 2,22.99,47.18,124.42
2025-03-25T17:39:39.430478,Environment 1,23.09,47.12,200.91
2025-03-25T17:39:39.971131,Environment 2,22.99,47.39,123.49
2025-03-25T17:39:50.493111,Environment 1,23.09,47.28,199.99
2025-03-25T17:39:53.126871,Environment 1,23.07,47.28,200.45
2025-03-25T17:39:53.668086,Environment 2,22.99,47.49,123.49
2025-03-25T17:40:04.186014,Environment 1,23.09,47.44,200.45
2025-03-25T17:40:04.727130,Environment 2,22.99,47.64,123.49
2025-03-25T17:40:15.249619,Environment 1,23.09,47.6,200.45
2025-03-25T17:40:17.883054,Environment 1,23.08,47.6,201.37
2025-03-25T17:40:18.419995,Environment 2,22.99,47.78,123.96
2025-03-25T17:40:28.942100,Environment 1,23.08,47.68,201.37
2025-03-25T17:40:29.482825,Environment 2,22.98,47.94,124.42
2025-03-25T17:40:40.001468,Environment 1,23.09,47.81,202.29
2025-03-25T17:40:42.638649,Environment 1,23.1,47.88,202.29
2025-03-25T17:40:43.175128,Environment 2,22.99,48.14,124.88
2025-03-25T17:40:53.698134,Environment 1,23.09,48.02,202.75
2025-03-25T17:40:54.234902,Environment 2,23.0,48.24,125.8
2025-03-25T17:41:04.757126,Environment 1,23.1,48.12,203.21
2025-03-25T17:41:07.390388,Environment 1,23.08,48.12,203.21
2025-03-25T17:41:07.931344,Environment 2,22.99,48.34,125.8
2025-03-25T17:41:18.454047,Environment 1,23.09,48.15,204.13
2025-03-25T17:41:18.990100,Environment 2,22.98,48.39,126.26
2025-03-25T17:41:29.513083,Environment 1,23.09,48.38,204.6
2025-03-25T17:41:32.146969,Environment 1,23.09,48.38,204.6
2025-03-25T17:41:32.686865,Environment 2,22.99,48.61,126.72
2025-03-25T17:41:43.209332,Environment 1,23.1,48.37,205.06
2025-03-25T17:41:43.746121,Environment 2,23.0,48.58,127.18
2025-03-25T17:41:54.268742,Environment 1,23.1,48.57,205.52
2025-03-25T17:41:56.902030,Environment 1,23.1,48.64,205.52
2025-03-25T17:41:57.443518,Environment 2,23.01,48.93,127.64
2025-03-25T17:42:07.965769,Environment 1,23.11,48.76,206.44
2025-03-25T17:42:08.502583,Environment 2,22.99,49.0,127.64
2025-03-25T17:42:19.024489,Environment 1,23.12,48.83,205.98
2025-03-25T17:42:21.658767,Environment 1,23.11,48.85,206.9
2025-03-25T17:42:22.199412,Environment 2,23.0,49.08,127.64
2025-03-25T17:42:32.717327,Environment 1,23.11,48.92,206.9
2025-03-25T17:42:33.258467,Environment 2,23.01,49.17,127.64
2025-03-25T17:42:43.780286,Environment 1,23.12,49.02,206.9
2025-03-25T17:42:46.414594,Environment 1,23.11,49.04,207.82
2025-03-25T17:42:46.950614,Environment 2,23.01,49.31,128.1
2025-03-25T17:42:57.473711,Environment 1,23.12,49.21,207.36
2025-03-25T17:42:58.013540,Environment 2,23.0,49.48,128.1
2025-03-25T17:43:08.532518,Environment 1,23.14,49.31,207.82
2025-03-25T17:43:11.170257,Environment 1,23.13,49.31,208.28
2025-03-25T17:43:11.707055,Environment 2,23.0,49.63,128.56
